Pasta: Treino
Label 0: 94
Label 1: 10
Label 2: 15
Label 3: 14
Label 4: 17
Label 5: 1
Label 6: 108
Label 7: 7
Label 8: 1
Label 9: 8
Label 10: 5
Label 11: 16
Label 12: 52
Label 13: 10
Label 14: 13
Label 15: 3
Label 16: 1
Label 17: 5
Label 18: 1
Label 20: 789
Label 21: 96
Label 22: 8
Label 23: 4
Label 24: 48
Label 25: 43
Label 26: 44
Label 27: 217
Label 28: 11
Label 29: 3
Label 30: 11
Label 31: 6
Label 32: 33
Label 33: 3122
Label 34: 198
Label 35: 26
Label 36: 101
Label 38: 15
Label 39: 4
Label 40: 4
Label 41: 2
Label 42: 1

Pasta: Validação
Label 0: 7
Label 1: 1
Label 2: 2
Label 3: 5
Label 4: 1
Label 6: 17
Label 9: 1
Label 11: 4
Label 12: 4
Label 14: 2
Label 16: 1
Label 17: 2
Label 19: 1
Label 20: 96
Label 21: 10
Label 24: 7
Label 25: 10
Label 26: 8
Label 27: 27
Label 28: 2
Label 29: 1
Label 32: 3
Label 33: 396
Label 34: 18
Label 35: 3
Label 36: 14
Label 37: 1
Label 40: 1

Pasta: Teste
Label 0: 13
Label 1: 2
Label 2: 1
Label 4: 2
Label 6: 15
Label 9: 1
Label 10: 1
Label 12: 9
Label 13: 1
Label 14: 1
Label 15: 1
Label 17: 1
Label 20: 94
Label 21: 13
Label 24: 3
Label 25: 7
Label 26: 13
Label 27: 31
Label 30: 2
Label 31: 2
Label 32: 8
Label 33: 386
Label 34: 25
Label 35: 3
Label 36: 9
Label 38: 2
Label 42: 1
